Line_Range,Win_Percentage
+100 to +150,41.15
+151 to +200,30.19
+201 to +250,20.24
+251 to +300,22.64
+301 to +350,27.03
+351 to +400,20.00
+401 to +450,22.22
+451 to +500,8.33
+501 to +600,12.00
+601 to +700,4.35
+701 to +800,10.53
+801 to +900,6.67
+901 to +1000,0.00
+1001 to +1250,12.50
+1251 to +1500,0.00
+1501 to +1750,0.00
+1751 to +2000,0.00
+2001 and above,0.00
