Line_Range,Win_Percentage
-101 to -150,64.41
-151 to -200,56.14
-201 to -250,57.69
-251 to -300,92.31
-301 to -350,60.00
-351 to -400,66.67
-401 to -450,66.67
-451 to -500,57.14
-501 to -600,86.67
-601 to -700,93.75
-701 to -800,75.00
-801 to -900,80.00
-901 to -1000,100.00
-1001 to -1250,71.43
-1251 to -1500,100.00
-1501 to -1750,100.00
-1751 to -2000,100.00
-2001 and below,100.00
