Line_Range,Win_Percentage
+100 to +150,42.68
+151 to +200,44.12
+201 to +250,10.26
+251 to +300,57.89
+301 to +350,16.67
+351 to +400,41.67
+401 to +450,0.00
+451 to +500,6.25
+501 to +600,23.08
+601 to +700,25.00
+701 to +800,0.00
+801 to +900,0.00
+901 to +1000,0.00
+1001 to +1250,0.00
