Line_Range,Win_Percentage
+100 to +150,41.05
+151 to +200,35.52
+201 to +250,15.91
+251 to +300,32.47
+301 to +350,24.53
+351 to +400,25.00
+401 to +450,14.81
+451 to +500,7.50
+501 to +600,15.79
+601 to +700,8.82
+701 to +800,9.09
+801 to +900,6.06
+901 to +1000,0.00
+1001 to +1250,11.11
+1251 to +1500,0.00
+1501 to +1750,0.00
+1751 to +2000,0.00
+2001 and above,0.00
