Line_Range,Win_Percentage
+100 to +150,33.33
+151 to +200,33.33
+201 to +250,0.00
+251 to +300,40.00
+301 to +350,25.00
+351 to +400,16.67
+601 to +700,0.00
+1001 to +1250,0.00
