Line_Range,Win_Percentage
-101 to -150,60.48
-151 to -200,64.97
-201 to -250,74.39
-251 to -300,80.00
-301 to -350,85.29
-351 to -400,70.27
-401 to -450,71.43
-451 to -500,82.14
-501 to -600,80.77
-601 to -700,91.67
-701 to -800,91.67
-801 to -900,84.62
-901 to -1000,93.33
-1001 to -1250,100.00
-1251 to -1500,88.00
-1501 to -1750,96.77
-1751 to -2000,100.00
-2001 and below,97.06
