Line_Range,Win_Percentage
-101 to -150,71.43
-151 to -200,80.00
-201 to -250,57.14
-251 to -300,100.00
-301 to -350,100.00
-351 to -400,0.00
-401 to -450,100.00
-451 to -500,60.00
-501 to -600,100.00
-901 to -1000,100.00
-2001 and below,100.00
