Team,Avg_Point_Differential
RIDER,-11.00
ROBERT MORRIS,5.40
RUTGERS,-4.57
SACRAMENTO STATE,-15.40
SACRED HEART,-18.00
SAINT FRANCIS PA,-17.00
SAINT JOSEPHS,2.17
SAINT LOUIS,0.67
SAINT MARYS,8.20
SAINT PETERS,-5.33
SAINT THOMAS MN,5.25
SAM HOUSTON,-8.60
SAMFORD,-1.40
SAN DIEGO,-8.20
SAN DIEGO STATE,16.50
SAN FRANCISCO,3.00
SAN JOSE STATE,4.60
SANTA CLARA,11.83
SE LOUISIANA,7.25
SE MISSOURI STATE,5.83
SEATTLE,-0.80
SETON HALL,-2.00
SIU EDWARDSVILLE,-0.80
SMU,-5.00
SOUTH ALABAMA,10.33
SOUTH CAROLINA,4.17
SOUTH CAROLINA STATE,4.80
SOUTH DAKOTA,4.00
SOUTH DAKOTA STATE,3.25
SOUTH FLORIDA,0.14
SOUTHERN ILLINOIS,0.00
SOUTHERN INDIANA,-7.80
SOUTHERN MISS,6.60
SOUTHERN UNIVERSITY,-8.00
SOUTHERN UTAH,-7.80
STANFORD,5.20
STEPHEN F. AUSTIN,-13.75
STETSON,-15.80
STONEHILL,-2.60
TARLETON STATE,-0.60
TCU,0.60
TEMPLE,-0.33
TENNESSEE,5.17
TENNESSEE STATE,-2.60
TENNESSEE TECH,-2.20
TEXAS,15.29
TEXAS A&M,3.83
TEXAS SOUTHERN,-4.17
TEXAS STATE,7.50
TEXAS TECH,15.20
THE CITADEL,-16.40
TOLEDO,-4.00
TOWSON,1.80
TROY,12.67
TULANE,-8.75
TULSA,12.33
UAB,11.60
UC DAVIS,-0.50
UC IRVINE,1.00
UC RIVERSIDE,-3.20
UC SAN DIEGO,16.50
UC SANTA BARBARA,0.67
UCF,10.00
UCLA,2.67
UCONN,3.25
ULM,-11.20
UMASS,1.50
UMASS LOWELL,5.40
UMBC,3.67
UMKC,-0.33
UNC ASHEVILLE,3.33
UNC GREENSBOR0,-12.00
UNC GREENSBORO,2.75
UNC WILMINGTON,7.00
UNLV,1.29
USC,12.00
USC UPSTATE,-7.17
UT ARLINGTON,1.17
UT MARTIN,9.25
UT RIO GRANDE VALLEY,2.50
UTAH,-1.33
UTAH STATE,8.50
UTAH TECH,-1.25
UTAH VALLEY,6.17
UTEP,1.50
UTSA,8.40
VALPARAISO,-2.83
VANDERBILT,16.20
VCU,9.20
VERMONT,-3.50
VILLANOVA,-1.57
VIRGINIA,-3.25
VIRGINIA TECH,-6.83
VMI,1.25
WAKE FOREST,5.00
WASHINGTON,-9.00
WASHINGTON STATE,-3.33
WEBER STATE,-5.50
WEST GEORGIA,-10.00
WEST VIRGINIA,-0.67
WESTERN CAROLINA,-23.20
WESTERN ILLINOIS,-7.80
WESTERN KENTUCKY,-1.60
WESTERN MICHIGAN,-7.50
WICHITA STATE,-4.86
WILLIAM & MARY,0.33
WINTHROP,-3.50
WISCONSIN,13.71
WOFFORD,4.83
WRIGHT STATE,-6.60
WYOMING,-4.17
XAVIER,-2.00
YALE,16.00
YOUNGSTOWN STATE,3.00
