Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Who_Won,Winning_Line
BASKETBALL,COLLEGE MENS,CHATTANOOGA,ALABAMA A&M,n/a,-1800,1000,CHATTANOOGA,-1800
BASKETBALL,COLLEGE MENS,MERCER,CHICAGO STATE,n/a,-1650,950,MERCER,-1650
BASKETBALL,COLLEGE MENS,EASTERN MICHIGAN,PURDUE FORT WAYNE,n/a,195,-238,PURDUE FORT WAYNE,-238
BASKETBALL,COLLEGE MENS,LITTLE ROCK,ILLINOIS CHICAGO,n/a,-155,130,ILLINOIS CHICAGO,130
BASKETBALL,COLLEGE MENS,MORGAN STATE,CAMPBELL,n/a,190,-230,MORGAN STATE,190
BASKETBALL,COLLEGE MENS,IOWA,NEW ORLEANS,n/a,"","",IOWA,""
BASKETBALL,COLLEGE MENS,NORTH DAKOTA,UTSA,n/a,100,-120,UTSA,-120
BASKETBALL,COLLEGE MENS,TEXAS,ARKANSAS-PINE BLUFF,n/a,"","",TEXAS,""
BASKETBALL,COLLEGE MENS,BOSTON COLLEGE,STONEHILL,n/a,-1800,1000,BOSTON COLLEGE,-1800
BASKETBALL,COLLEGE MENS,GEORGIA TECH,NORTHWESTERN,n/a,220,-270,NORTHWESTERN,-270
BASKETBALL,COLLEGE MENS,KENT STATE,MERCYHURST,n/a,-2400,1200,KENT STATE,-2400
BASKETBALL,COLLEGE MENS,ILLINOIS STATE,SAINT LOUIS,n/a,105,-125,ILLINOIS STATE,105
BASKETBALL,COLLEGE MENS,CAL STATE FULLERTON,DENVER,n/a,-166,140,CAL STATE FULLERTON,-166
BASKETBALL,COLLEGE MENS,OREGON,STEPHEN F. AUSTIN,n/a,-6500,2000,OREGON,-6500
BASKETBALL,COLLEGE MENS,UAB,ARKANSAS STATE,n/a,-175,145,ARKANSAS STATE,145
BASKETBALL,COLLEGE MENS,LOYOLA CHICAGO,SAN FRANCISCO,n/a,130,-155,SAN FRANCISCO,-155
BASKETBALL,COLLEGE MENS,IDAHO,UC SAN DIEGO,n/a,300,-380,UC SAN DIEGO,-380
BASKETBALL,COLLEGE MENS,USC,MONTANA STATE,n/a,-425,330,USC,-425
BASKETBALL,NBA,IND PACERS,NO PELICANS,n/a,-285,230,IND PACERS,-285
BASKETBALL,NBA,ORL MAGIC,NY KNICKS,n/a,154,-185,NY KNICKS,-185
BASKETBALL,NBA,WAS WIZARDS,BOS CELTICS,n/a,1000,-1800,BOS CELTICS,-1800
BASKETBALL,NBA,SA SPURS,MIN TIMBERWOLVES,n/a,150,-180,MIN TIMBERWOLVES,-180
BASKETBALL,NBA,PHO SUNS,POR TRAIL BLAZERS,n/a,-575,425,PHO SUNS,-575
BASKETBALL,NBA,GS WARRIORS,DAL MAVERICKS,n/a,124,-148,DAL MAVERICKS,-148
BASKETBALL,NBA,LA LAKERS,MEM GRIZZLIES,n/a,150,-180,LA LAKERS,150
