Sport,League,Home_Team,Away_Team,Scenario,Points,Actual_Points,OU
BASKETBALL,CBB,LOUISIANA TECH,WESTERN KENTUCKY,n/a,145.0,144,U
BASKETBALL,CBB,GEORGIA STATE,MARSHALL,n/a,150.0,171,O
BASKETBALL,CBB,NEW HAMPSHIRE,BRYANT,n/a,149.0,171,O
BASKETBALL,CBB,EASTERN KENTUCKY,STETSON,n/a,155.5,133,U
BASKETBALL,CBB,CHARLESTON,UNC WILMINGTON,n/a,153.0,168,O
BASKETBALL,CBB,WEST GEORGIA,JACKSONVILLE,n/a,138.0,141,O
BASKETBALL,CBB,NORTHEASTERN,DREXEL,n/a,134.5,131,U
BASKETBALL,CBB,SAINT PETERS,MERRIMACK,n/a,121.5,85,U
BASKETBALL,CBB,CHATTANOOGA,SAMFORD,n/a,154.5,142,U
BASKETBALL,CBB,QUEENS NC,NORTH FLORIDA,n/a,168.0,171,O
BASKETBALL,CBB,NORTH ALABAMA,LIPSCOMB,n/a,147.0,138,U
BASKETBALL,CBB,SAM HOUSTON,MIDDLE TENNESSEE,n/a,150.0,152,O
BASKETBALL,CBB,CENTRAL ARKANSAS,AUSTIN PEAY,n/a,135.5,144,O
BASKETBALL,CBB,ORAL ROBERTS,DENVER,n/a,148.0,138,U
BASKETBALL,CBB,UMKC,SOUTH DAKOTA STATE,n/a,142.0,129,U
BASKETBALL,CBB,NORTH DAKOTA,SOUTH DAKOTA,n/a,176.0,195,O
BASKETBALL,CBB,ABILENE CHRISTIAN,TARLETON STATE,n/a,129.5,123,U
BASKETBALL,CBB,UT ARLINGTON,SEATTLE,n/a,145.5,121,U
BASKETBALL,CBB,OMAHA,SAINT THOMAS MN,n/a,154.0,167,O
BASKETBALL,CBB,SOUTHERN UTAH,GRAND CANYON,n/a,154.0,133,U
BASKETBALL,CBB,WESTERN ILLINOIS,LITTLE ROCK,n/a,131.0,113,U
BASKETBALL,CBB,SIU EDWARDSVILLE,SOUTHERN INDIANA,n/a,136.5,158,O
BASKETBALL,CBB,TENNESSEE STATE,TENNESSEE TECH,n/a,148.0,166,O
BASKETBALL,CBB,LINDENWOOD,SE MISSOURI STATE,n/a,142.5,140,U
BASKETBALL,CBB,ILLINOIS,MARYLAND,n/a,158.0,161,O
BASKETBALL,CBB,SAINT MARYS,SAN FRANCISCO,n/a,136.0,122,U
BASKETBALL,CBB,NEW MEXICO STATE,KENNESAW STATE,n/a,149.5,125,U
BASKETBALL,CBB,ARKANSAS STATE,APPALACHIAN STATE,n/a,137.5,120,U
BASKETBALL,CBB,UTEP,JACKSONVILLE STATE,n/a,138.0,139,O
