Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Actual_Point_Diff,Who_Covered,Winning_Line
BASKETBALL,CBB,SAINT LOUIS,SAINT JOSEPHS,n/a,-2.0,2.0,16.0,SAINT LOUIS,-2.0
BASKETBALL,CBB,NEW MEXICO,NEVADA,n/a,-5.5,5.5,1.0,NEVADA,5.5
BASKETBALL,NBA,MIN TIMBERWOLVES,BOS CELTICS,n/a,4.5,-4.5,-3.0,MIN TIMBERWOLVES,4.5
BASKETBALL,NBA,MIA HEAT,IND PACERS,n/a,-2.0,2.0,-13.0,IND PACERS,2.0
BASKETBALL,NBA,OKC THUNDER,LA CLIPPERS,n/a,-11.0,11.0,18.0,OKC THUNDER,-11.0
BASKETBALL,NBA,MIL BUCKS,BKN NETS,n/a,-13.0,13.0,-3.0,BKN NETS,13.0
BASKETBALL,NBA,GS WARRIORS,PHI 76ERS,n/a,-3.0,3.0,34.0,GS WARRIORS,-3.0
BASKETBALL,NBA,LA LAKERS,POR TRAIL BLAZERS,n/a,-9.0,9.0,8.0,POR TRAIL BLAZERS,9.0
BASKETBALL,NBA,WAS WIZARDS,CHI BULLS,n/a,6.0,-6.0,18.0,WAS WIZARDS,6.0
BASKETBALL,NBA,DET PISTONS,ORL MAGIC,n/a,-2.5,2.5,9.0,DET PISTONS,-2.5
BASKETBALL,NBA,NY KNICKS,UTA JAZZ,n/a,-12.5,12.5,16.0,NY KNICKS,-12.5
BASKETBALL,NBA,MIA HEAT,NO PELICANS,n/a,-9.0,9.0,11.0,MIA HEAT,-9.0
BASKETBALL,NBA,TOR RAPTORS,BKN NETS,n/a,-1.5,1.5,17.0,TOR RAPTORS,-1.5
BASKETBALL,NBA,HOU ROCKETS,DAL MAVERICKS,n/a,-5.5,5.5,11.0,HOU ROCKETS,-5.5
BASKETBALL,NBA,DEN NUGGETS,ATL HAWKS,n/a,-7.5,7.5,19.0,DEN NUGGETS,-7.5
BASKETBALL,NBA,SAC KINGS,PHI 76ERS,n/a,-6.5,6.5,6.0,PHI 76ERS,6.5
BASKETBALL,NBA,IND PACERS,MIL BUCKS,n/a,-1.5,1.5,-8.0,MIL BUCKS,1.5
BASKETBALL,NBA,BOS CELTICS,TOR RAPTORS,n/a,-17.5,17.5,54.0,BOS CELTICS,-17.5
BASKETBALL,NBA,SA SPURS,LA CLIPPERS,n/a,-4.0,4.0,36.0,SA SPURS,-4.0
BASKETBALL,NBA,OKC THUNDER,MIN TIMBERWOLVES,n/a,-7.0,7.0,8.0,OKC THUNDER,-7.0
BASKETBALL,NBA,LA LAKERS,CLE CAVALIERS,n/a,5.0,-5.0,-12.0,CLE CAVALIERS,-5.0
BASKETBALL,NBA,PHO SUNS,MEM GRIZZLIES,n/a,-5.0,5.0,-5.0,MEM GRIZZLIES,5.0
FOOTBALL,NFL,SF 49ERS,DET LIONS,n/a,3.5,-3.5,-6.0,DET LIONS,-3.5
BASKETBALL,NBA,WAS WIZARDS,NY KNICKS,n/a,12.5,-12.5,-20.0,NY KNICKS,-12.5
BASKETBALL,NBA,CHA HORNETS,CHI BULLS,n/a,5.0,-5.0,-7.0,CHI BULLS,-5.0
BASKETBALL,NBA,NO PELICANS,LA CLIPPERS,n/a,4.5,-4.5,-3.0,NO PELICANS,4.5
BASKETBALL,NBA,UTA JAZZ,DEN NUGGETS,n/a,7.5,-7.5,-11.0,DEN NUGGETS,-7.5
BASKETBALL,NBA,GS WARRIORS,CLE CAVALIERS,n/a,4.0,-4.0,-18.0,CLE CAVALIERS,-4.0
BASKETBALL,NBA,POR TRAIL BLAZERS,PHI 76ERS,n/a,6.5,-6.5,-22.0,PHI 76ERS,-6.5
BASKETBALL,NBA,SAC KINGS,DAL MAVERICKS,n/a,-4.0,4.0,10.0,SAC KINGS,-4.0
BASKETBALL,NBA,BOS CELTICS,IND PACERS,n/a,-10.5,10.5,-9.0,IND PACERS,10.5
BASKETBALL,NBA,TOR RAPTORS,ATL HAWKS,n/a,-1.0,1.0,-29.0,ATL HAWKS,1.0
BASKETBALL,NBA,OKC THUNDER,MEM GRIZZLIES,n/a,-8.0,8.0,24.0,OKC THUNDER,-8.0
BASKETBALL,NBA,HOU ROCKETS,MIA HEAT,n/a,-9.0,9.0,-4.0,MIA HEAT,9.0
BASKETBALL,NBA,MIN TIMBERWOLVES,SA SPURS,n/a,-6.5,6.5,2.0,SA SPURS,6.5
FOOTBALL,NFL,BUF BILLS,NY JETS,n/a,-10.0,10.0,26.0,BUF BILLS,-10.0
FOOTBALL,NFL,NY GIANTS,IND COLTS,n/a,7.0,-7.0,12.0,NY GIANTS,7.0
FOOTBALL,NFL,TB BUCCANEERS,CAR PANTHERS,n/a,-8.5,8.5,34.0,TB BUCCANEERS,-8.5
FOOTBALL,NFL,PHI EAGLES,DAL COWBOYS,n/a,-7.5,7.5,34.0,PHI EAGLES,-7.5
FOOTBALL,NFL,NO SAINTS,LV RAIDERS,n/a,1.5,-1.5,-15.0,LV RAIDERS,-1.5
